Date,Close/Last,Volume,Open,High,Low
12/05/2025,$331.98,3906656,$266.01,$489.9999,$225.00
12/04/2025,$141.00,6550836,$62.60,$167.55,$59.1588
12/03/2025,$58.49,2887369,$58.19,$69.96,$54.00
12/02/2025,$50.50,6334159,$34.54,$66.1299,$34.01
12/01/2025,$38.99,3333380,$51.03,$52.94,$33.33
11/28/2025,$61.04,22543650,$33.50,$63.88,$29.8906
11/26/2025,$17.40,22826670,$5.94,$17.40,$5.91
11/25/2025,$5.91,268004,$5.26,$5.95,$4.79
11/24/2025,$5.10,345626,$4.39,$5.36,$4.18
11/21/2025,$4.67,6493748,$4.40,$4.75,$3.90
11/20/2025,$4.24,255284,$4.59,$5.99,$4.02
11/19/2025,$5.10,602490,$4.76,$5.23,$3.12
11/18/2025,$5.28,186050,$7.68,$7.68,$5.16
11/17/2025,$8.40,85454,$9.52,$9.76,$8.32
11/14/2025,$11.12,117081,$12.96,$13.472,$10.8824
11/13/2025,$13.44,31039,$12.96,$13.5992,$12.64
11/12/2025,$13.20,77778,$12.08,$14.2392,$11.84
11/11/2025,$12.08,67675,$12.32,$12.56,$11.60
11/10/2025,$12.88,69454,$12.48,$14.24,$12.08
11/07/2025,$13.60,114105,$14.56,$14.80,$12.08
11/06/2025,$15.68,257851,$15.60,$16.08,$14.24
11/05/2025,$16.88,9760779,$16.96,$19.2792,$14.08
11/04/2025,$11.76,350249,$12.72,$13.992,$11.5904
11/03/2025,$14.16,1596033,$15.84,$15.84,$14.00
10/31/2025,$16.16,96303,$17.84,$18.24,$16.00
10/30/2025,$19.44,81135,$22.24,$22.72,$19.2464
10/29/2025,$23.60,283785,$28.80,$30.24,$22.56
10/28/2025,$34.00,117796,$41.76,$41.76,$31.04
10/27/2025,$46.72,46842,$53.68,$53.68,$45.04
10/24/2025,$54.72,45383,$57.68,$59.36,$51.44
10/23/2025,$60.72,45474,$67.52,$69.20,$54.56
10/22/2025,$75.5095,97270,$69.3188,$87.1935,$66.3542
10/21/2025,$68.0196,60309,$100.2725,$104.6322,$65.4997
10/20/2025,$101.1444,9213,$102.0163,$103.6817,$98.5286
10/17/2025,$101.1444,15280,$95.9128,$103.7602,$94.1689
10/16/2025,$96.7847,19756,$106.376,$106.376,$95.9128
10/15/2025,$104.6322,20928,$105.5041,$112.4796,$104.6322
10/14/2025,$105.5041,13654,$108.9918,$111.6076,$105.5041
10/13/2025,$111.6076,18795,$108.9918,$115.9673,$108.1199
10/10/2025,$113.3515,23394,$118.5831,$126.4305,$113.3515
10/09/2025,$117.7112,41757,$118.5831,$128.1744,$115.9673
10/08/2025,$113.3515,22910,$117.7112,$120.0567,$113.3515
10/07/2025,$122.0708,27226,$108.9918,$122.9428,$108.9918
10/06/2025,$107.248,49121,$115.9673,$118.5831,$106.376
10/03/2025,$121.1989,320448,$154.3324,$166.5395,$115.9673
10/02/2025,$140.3815,36658,$126.4305,$143.4332,$122.0708
10/01/2025,$125.5586,17078,$127.3025,$138.6376,$125.5586
09/30/2025,$127.3025,7779,$122.9428,$129.0463,$120.327
09/29/2025,$122.9428,12066,$126.4305,$129.0463,$122.0708
09/26/2025,$128.1744,26682,$143.8692,$147.3569,$126.4305
09/25/2025,$139.5095,31742,$126.4305,$140.3815,$119.455
09/24/2025,$129.0463,6356,$131.6621,$132.5341,$126.4305
09/23/2025,$130.7902,13343,$135.1499,$137.7657,$126.4305
09/22/2025,$131.6621,8053,$127.3025,$132.473,$125.5586
09/19/2025,$127.3025,15253,$137.7657,$140.8174,$127.3025
09/18/2025,$137.7657,34818,$122.0708,$143.8692,$120.327
09/17/2025,$121.1989,7366,$122.9428,$124.6866,$120.327
09/16/2025,$122.0708,12660,$115.9673,$125.5586,$115.9673
09/15/2025,$134.2779,51160,$113.3515,$136.0218,$113.3515
09/12/2025,$117.7112,14339,$119.455,$122.9428,$115.0954
09/11/2025,$120.327,53148,$121.1989,$130.7902,$117.7112
09/10/2025,$115.9673,553835,$130.7902,$163.0518,$115.9673
